Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
Nature Reviews Chemistry,NAT REV CHEM,N/A,2397-3358,化学,NATURE PORTFOLIO,1,Q1,51.7,49.4,2/239,
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,1759-5045,1759-5053,医学,NATURE PORTFOLIO,1,Q1,51.0,72.4,1/147,
NATURE MEDICINE,NAT MED,1078-8956,1546-170X,医学,NATURE PORTFOLIO,1,Q1,50.0,52.4,1/195,
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,1545-8636,1545-8636,医学,CENTERS DISEASE CONTROL & PREVENTION,1,Q1,49.8,34.1,2/419,
NATURE,NATURE,0028-0836,1476-4687,综合性期刊,NATURE PORTFOLIO,1,Q1,48.5,55.0,2/135,
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,N/A,1553-877X,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,46.7,42.8,1/258,
SCIENCE,SCIENCE,0036-8075,1095-9203,综合性期刊,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,45.8,49.7,3/135,
LANCET NEUROLOGY,LANCET NEUROL,1474-4422,1474-4465,医学,ELSEVIER SCIENCE INC,1,Q1,45.5,56.2,1/285,
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,1539-0756,物理与天体物理,AMER PHYSICAL SOC,1,Q1,44.8,56.3,1/114,
Nature Catalysis,NAT CATAL,2520-1158,2520-1158,化学,NATURE PORTFOLIO,1,Q1,44.6,47.4,1/185,
CANCER CELL,CANCER CELL,1535-6108,1878-3686,医学,CELL PRESS,1,Q1,44.5,47.2,5/326,
Nature Reviews Cardiology,NAT REV CARDIOL,1759-5002,1759-5010,医学,NATURE PORTFOLIO,1,Q1,44.2,52.9,1/230,
BMJ-British Medical Journal,BMJ-BRIT MED J,0959-535X,1756-1833,医学,BMJ PUBLISHING GROUP,1,Q1,42.7,76.1,5/332,
CELL,CELL,0092-8674,1097-4172,生物学,CELL PRESS,1,Q1,42.5,48.9,3/319,
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732-183X,1527-7755,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,41.9,37.7,6/326,
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,2213-8587,2213-8595,医学,ELSEVIER SCIENCE INC,1,Q1,41.8,41.7,1/191,
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,1546-1696,生物学,NATURE PORTFOLIO,1,Q1,41.7,59.5,2/177,
Nature Electronics,NAT ELECTRON,2520-1131,2520-1131,工程技术,NATURE PORTFOLIO,1,Q1,40.9,42.0,1/366,
Journal of Hematology & Oncology,J HEMATOL ONCOL,N/A,1756-8722,医学,BMC,1,Q1,40.4,34.4,1/98,
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,1759-5037,医学,NATURE PORTFOLIO,1,Q1,40.0,47.0,2/191,
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,0079-6425,1873-2208,材料科学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,40.0,44.8,3/460,
Nature Reviews Nephrology,NAT REV NEPHROL,1759-5061,1759-507X,医学,NATURE PORTFOLIO,1,Q1,39.8,44.5,2/133,
Nature Reviews Physics,NAT REV PHYS,N/A,2522-5820,物理与天体物理,NATURE PORTFOLIO,1,Q1,39.5,53.2,1/187,
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,1460-4744,化学,ROYAL SOC CHEMISTRY,1,Q1,39.0,50.1,3/239,
CIRCULATION,CIRCULATION,0009-7322,1524-4539,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,38.6,35.9,1/98,
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,N/A,2468-1253,医学,ELSEVIER INC,1,Q1,38.6,34.0,2/147,
NATURE MATERIALS,NAT MATER,1476-1122,1476-4660,材料科学,NATURE PORTFOLIO,1,Q1,38.5,46.8,1/79,
Nature Reviews Bioengineering,NAT REV BIOENG,N/A,2731-6092,N/A,SPRINGERNATURE,N/A,Q1,37.6,37.6,1/124,
REVIEWS OF GEOPHYSICS,REV GEOPHYS,8755-1209,1944-9208,地球科学,AMER GEOPHYSICAL UNION,1,Q1,37.3,34.6,1/100,
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,0360-1285,1873-216X,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,37.0,39.3,1/175,
eScience,ESCIENCE,2097-2431,2667-1417,材料科学,KEAI PUBLISHING LTD,1,Q1,36.6,35.9,5/460,
Nano-Micro Letters,NANO-MICRO LETT,2311-6706,2150-5551,材料科学,SHANGHAI JIAO TONG UNIV PRESS,1,Q1,36.3,30.1,2/147,
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,2520-8489,2520-8136,材料科学,SPRINGERNATURE,1,Q1,36.3,34.1,2/44,
LANCET ONCOLOGY,LANCET ONCOL,1470-2045,1474-5488,医学,ELSEVIER SCIENCE INC,1,Q1,35.9,42.0,8/326,
EUROPEAN HEART JOURNAL,EUR HEART J,0195-668X,1522-9645,医学,OXFORD UNIV PRESS,1,Q1,35.6,34.4,3/230,
Joule,JOULE,2542-4351,2542-4351,材料科学,CELL PRESS,1,Q1,35.4,43.7,3/185,
Nature Nanotechnology,NAT NANOTECHNOL,1748-3387,1748-3395,材料科学,NATURE PORTFOLIO,1,Q1,34.9,40.4,8/460,
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,1553-4006,1553-4014,医学,ANNUAL REVIEWS,1,Q1,34.5,39.7,1/90,
Molecular Cancer,MOL CANCER,N/A,1476-4598,医学,BMC,1,Q1,33.9,35.9,4/319,
Cancer Discovery,CANCER DISCOV,2159-8274,2159-8290,医学,AMER ASSOC CANCER RESEARCH,1,Q1,33.3,33.0,10/326,
Annual Review of Immunology,ANNU REV IMMUNOL,0732-0582,1545-3278,医学,ANNUAL REVIEWS,1,Q1,33.3,37.7,2/183,
iMeta,IMETA,2770-5986,2770-596X,生物学,WILEY,1,Q1,33.2,33.2,2/163,
Nature Reviews Neurology,NAT REV NEUROL,1759-4758,1759-4766,医学,NATURE PORTFOLIO,1,Q1,33.1,43.4,2/285,
JOURNAL OF HEPATOLOGY,J HEPATOL,0168-8278,1600-0641,医学,ELSEVIER,1,Q1,33.0,28.1,3/147,
Nature Photonics,NAT PHOTONICS,1749-4885,1749-4893,物理与天体物理,NATURE PORTFOLIO,1,Q1,32.9,38.2,1/125,
Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,N/A,医学,ELSEVIER SCI LTD,1,Q1,32.8,35.4,1/108,
Nature Reviews Rheumatology,NAT REV RHEUMATOL,1759-4790,1759-4804,医学,NATURE PORTFOLIO,1,Q1,32.7,35.7,1/58,
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,1545-4282,物理与天体物理,ANNUAL REVIEWS,1,Q1,32.5,41.2,1/84,
NATURE METHODS,NAT METHODS,1548-7091,1548-7105,生物学,NATURE PORTFOLIO,1,Q1,32.1,51.7,1/86,
eLight,ELIGHT,2097-1710,2662-8643,物理与天体物理,SPRINGERNATURE,1,Q1,32.1,32.2,2/125,
Interdisciplinary Materials,INTERD MATER,2767-4401,2767-441X,材料科学,WILEY,1,Q1,31.6,31.6,9/460,
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,2327-0608,2327-0616,管理学,ANNUAL REVIEWS,1,Q1,31.1,25.1,1/420,
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,1474-4457,医学,ELSEVIER SCI LTD,1,Q1,31.0,26.9,1/137,
Cell Metabolism,CELL METAB,1550-4131,1932-7420,生物学,CELL PRESS,1,Q1,30.9,33.4,3/191,
Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,1754-5706,材料科学,ROYAL SOC CHEMISTRY,1,Q1,30.8,35.1,2/374,
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,1947-5454,1947-5462,物理与天体物理,ANNUAL REVIEWS,2,Q1,30.7,28.7,2/79,
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,0066-4189,1545-4479,工程技术,ANNUAL REVIEWS,1,Q1,30.2,32.6,1/171,
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,1873-6270,物理与天体物理,ELSEVIER,1,Q1,29.5,29.3,3/114,
Annual Review of Psychology,ANNU REV PSYCHOL,0066-4308,1545-2085,心理学,ANNUAL REVIEWS,1,Q1,29.4,34.4,1/221,
NATURE GENETICS,NAT GENET,1061-4036,1546-1718,生物学,NATURE PORTFOLIO,1,Q1,29.0,37.4,2/191,
Physiological Reviews,PHYSIOL REV,0031-9333,1522-1210,医学,AMER PHYSIOLOGICAL SOC,1,Q1,28.7,47.7,1/87,
Nature Cancer,NAT CANCER,N/A,2662-1347,医学,NATURE PORTFOLIO,1,Q1,28.5,28.6,11/326,
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,1557-7341,计算机科学,ASSOC COMPUTING MACHINERY,1,Q1,28.0,26.3,1/147,
NATURE IMMUNOLOGY,NAT IMMUNOL,1529-2908,1529-2916,医学,NATURE PORTFOLIO,1,Q1,27.6,29.2,3/183,
Living Reviews in Solar Physics,LIVING REV SOL PHYS,2367-3648,1614-4961,物理与天体物理,SPRINGER INT PUBL AG,1,Q1,27.6,26.1,2/84,
Science Robotics,SCI ROBOT,2470-9476,2470-9476,计算机科学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,27.5,32.9,1/48,
Nature Climate Change,NAT CLIM CHANGE,1758-678X,1758-6798,地球科学,NATURE PORTFOLIO,1,Q1,27.1,32.9,1/191,
Nature Sustainability,NAT SUSTAIN,2398-9629,2398-9629,环境科学与生态学,NATURE PORTFOLIO,1,Q1,27.1,32.8,1/191,
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,1873-4707,管理学,ELSEVIER SCI LTD,1,Q1,27.0,23.0,1/166,
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,1759-0876,1759-0884,化学,WILEY,2,Q1,27.0,18.4,1/67,
ADVANCED MATERIALS,ADV MATER,0935-9648,1521-4095,材料科学,WILEY-V C H VERLAG GMBH,1,Q1,26.8,28.9,10/460,
NEW ASTRONOMY REVIEWS,NEW ASTRON REV,1387-6473,1872-9630,物理与天体物理,ELSEVIER SCI LTD,2,Q1,26.8,13.7,3/84,
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,0927-796X,1879-212X,材料科学,ELSEVIER SCIENCE SA,1,Q1,26.8,36.7,10/460,
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,1471-003X,1471-0048,医学,NATURE PORTFOLIO,1,Q1,26.7,36.7,1/314,
Nature Biomedical Engineering,NAT BIOMED ENG,2157-846X,2157-846X,医学,NATURE PORTFOLIO,1,Q1,26.6,30.4,2/124,
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,0935-4956,1432-0754,物理与天体物理,SPRINGER,1,Q1,26.5,34.5,4/84,
Annual Review of Plant Biology,ANNU REV PLANT BIOL,1543-5008,1545-2123,生物学,ANNUAL REVIEWS,1,Q1,26.5,30.5,1/273,
Immunity,IMMUNITY,1074-7613,1097-4180,医学,CELL PRESS,1,Q1,26.3,33.2,4/183,
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,0079-6700,1873-1619,化学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,26.1,31.6,1/94,
Advanced Energy Materials,ADV ENERGY MATER,1614-6832,1614-6840,材料科学,WILEY-V C H VERLAG GMBH,1,Q1,26.0,26.8,5/182,
PROCEEDINGS OF THE IEEE,P IEEE,0018-9219,1558-2256,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,25.9,25.0,2/366,
CELL RESEARCH,CELL RES,1001-0602,1748-7838,生物学,SPRINGERNATURE,1,Q1,25.9,36.6,7/204,
GUT,GUT,0017-5749,1468-3288,医学,BMJ PUBLISHING GROUP,1,Q1,25.8,25.3,4/147,
Innovation,INNOVATION-AMSTERDAM,2666-6758,2666-6758,综合性期刊,CELL PRESS,1,Q1,25.7,40.2,4/135,
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,1935-8237,1935-8245,计算机科学,NOW PUBLISHERS INC,1,Q1,25.4,89.0,1/204,
EUROPEAN UROLOGY,EUR UROL,0302-2838,1873-7560,医学,ELSEVIER,1,Q1,25.2,22.0,3/133,
Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,2468-2667,医学,ELSEVIER SCI LTD,1,Q1,25.2,29.8,3/419,
Gastroenterology,GASTROENTEROLOGY,0016-5085,1528-0012,医学,W B SAUNDERS CO-ELSEVIER INC,1,Q1,25.1,26.9,5/147,
Advanced Powder Materials,ADV POWDER MATER,N/A,2772-834X,材料科学,KEAI PUBLISHING LTD,1,Q1,24.9,24.9,13/460,
Cancer Communications,CANCER COMMUN,N/A,2523-3548,医学,WILEY,1,Q1,24.9,22.2,12/326,
Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,N/A,医学,ELSEVIER SCI LTD,1,Q1,24.8,33.0,2/288,
FUNGAL DIVERSITY,FUNGAL DIVERS,1560-2745,1878-9129,生物学,SPRINGER,1,Q1,24.8,28.3,1/32,
Carbon Energy,CARBON ENERGY,N/A,2637-9368,N/A,WILEY,N/A,Q1,24.2,23.0,14/460,
Lancet Digital Health,LANCET DIGIT HEALTH,N/A,2589-7500,医学,ELSEVIER,1,Q1,24.1,27.6,1/48,
Molecular Plant,MOL PLANT,1674-2052,1752-9867,生物学,CELL PRESS,1,Q1,24.1,25.8,2/273,
Nature Water,NAT WATER,N/A,2731-6084,N/A,SPRINGERNATURE,N/A,Q1,24.1,24.1,1/131,
Nature Machine Intelligence,NAT MACH INTELL,N/A,2522-5839,计算机科学,NATURE PORTFOLIO,1,Q1,23.9,31.8,1/175,
Advances in Optics and Photonics,ADV OPT PHOTONICS,1943-8206,N/A,物理与天体物理,Optica Publishing Group,1,Q1,23.8,31.5,3/125,
EnergyChem,ENERGYCHEM,2589-7780,2589-7780,材料科学,ELSEVIER,1,Q1,23.8,25.5,3/175,
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,0010-8545,1873-3840,化学,ELSEVIER SCIENCE SA,1,Q1,23.5,22.7,1/42,
Light-Science & Applications,LIGHT-SCI APPL,2095-5545,2047-7538,物理与天体物理,SPRINGERNATURE,1,Q1,23.4,23.1,4/125,
JAMA Internal Medicine,JAMA INTERN MED,2168-6106,2168-6114,医学,AMER MEDICAL ASSOC,1,Q1,23.3,22.3,7/332,
BLOOD,BLOOD,0006-4971,1528-0020,医学,ELSEVIER,1,Q1,23.1,19.7,2/98,
Military Medical Research,MILITARY MED RES,2095-7467,2054-9369,医学,BMC,1,Q1,22.9,18.5,8/332,
Exploration,EXPLORATION-PRC,2766-8509,2766-2098,N/A,WILEY,N/A,Q1,22.5,22.8,5/135,
Opto-Electronic Advances,OPTO-ELECTRON ADV,2096-4579,2097-3993,物理与天体物理,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS",1,Q1,22.4,15.4,5/125,
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,0735-1097,1558-3597,医学,ELSEVIER SCIENCE INC,1,Q1,22.3,24.2,4/230,
InfoMat,INFOMAT,N/A,2567-3165,材料科学,WILEY,1,Q1,22.3,21.1,17/460,
Annual Review of Medicine,ANNU REV MED,0066-4219,1545-326X,医学,ANNUAL REVIEWS,1,Q1,22.1,17.6,2/195,
Materials Today,MATER TODAY,1369-7021,1873-4103,材料科学,ELSEVIER SCI LTD,1,Q1,22.0,25.3,18/460,
ENDOCRINE REVIEWS,ENDOCR REV,0163-769X,1945-7189,医学,ENDOCRINE SOC,1,Q1,22.0,29.0,4/191,
Nature Food,NAT FOOD,N/A,2662-1355,农林科学,NATURE PORTFOLIO,1,Q1,21.9,28.3,1/181,
Nature Reviews Psychology,NAT REV PSYCHOL,N/A,2731-0574,心理学,SPRINGERNATURE,1,Q1,21.8,21.8,2/221,
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,2522-0128,2522-0136,材料科学,SPRINGERNATURE,1,Q1,21.8,16.8,1/34,
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,1368-7646,1532-2084,医学,CHURCHILL LIVINGSTONE,1,Q1,21.7,23.0,2/352,
Lancet Planetary Health,LANCET PLANET HEALTH,N/A,2542-5196,医学,ELSEVIER SCI LTD,1,Q1,21.6,27.1,4/419,
JAMA Neurology,JAMA NEUROL,2168-6149,2168-6157,医学,AMER MEDICAL ASSOC,1,Q1,21.3,22.4,3/285,
Advanced Fiber Materials,ADV FIBER MATER,2524-7921,2524-793X,材料科学,SPRINGERNATURE,1,Q1,21.3,18.3,1/31,
SusMat,SUSMAT,2766-8479,2692-4552,材料科学,WILEY,2,Q1,21.3,21.7,2/102,
International Journal of Extreme Manufacturing,INT J EXTREME MANUF,2631-8644,2631-7990,工程技术,IOP Publishing Ltd,1,Q1,21.3,18.5,1/71,
INTENSIVE CARE MEDICINE,INTENS CARE MED,0342-4642,1432-1238,医学,SPRINGER,1,Q1,21.2,25.7,2/62,
Science Bulletin,SCI BULL,2095-9273,2095-9281,综合性期刊,ELSEVIER,1,Q1,21.1,17.6,6/135,
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,0926-3373,1873-3883,化学,ELSEVIER,1,Q1,21.1,20.2,1/83,
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,0903-1936,1399-3003,医学,EUROPEAN RESPIRATORY SOC JOURNALS LTD,1,Q1,21.0,18.9,2/108,
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,1526-5161,1536-0075,哲学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,Q1,20.8,14.7,1/77,
Nature Metabolism,NAT METAB,N/A,2522-5812,医学,NATURE PORTFOLIO,1,Q1,20.8,23.2,5/191,
Journal of Thoracic Oncology,J THORAC ONCOL,1556-0864,1556-1380,医学,ELSEVIER SCIENCE INC,1,Q1,20.8,18.4,3/108,
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,1360-1385,1878-4372,生物学,CELL PRESS,1,Q1,20.8,21.3,3/273,
Annual Review of Public Health,ANNU REV PUBL HEALTH,0163-7525,1545-2093,医学,ANNUAL REVIEWS,1,Q1,20.7,28.4,5/419,
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,0034-4885,1361-6633,物理与天体物理,IOP Publishing Ltd,2,Q1,20.7,20.9,4/114,
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,0003-4967,1468-2060,医学,ELSEVIER,1,Q1,20.6,18.6,2/58,
Annual Review of Biochemistry,ANNU REV BIOCHEM,0066-4154,1545-4509,生物学,ANNUAL REVIEWS,1,Q1,20.5,24.9,6/319,
Cell Stem Cell,CELL STEM CELL,1934-5909,1875-9777,医学,CELL PRESS,1,Q1,20.4,21.8,1/32,
Lancet Microbe,LANCET MICROBE,N/A,2666-5247,生物学,ELSEVIER,1,Q1,20.4,19.8,2/137,
Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,环境科学与生态学,SPRINGER HEIDELBERG,2,Q1,20.4,18.9,7/374,
Bioactive Materials,BIOACT MATER,N/A,2452-199X,医学,KEAI PUBLISHING LTD,1,Q1,20.3,20.5,3/124,
Nature Chemistry,NAT CHEM,1755-4330,1755-4349,化学,NATURE PORTFOLIO,1,Q1,20.2,22.6,10/239,
Energy Storage Materials,ENERGY STORAGE MATER,2405-8297,2405-8289,材料科学,ELSEVIER,1,Q1,20.2,20.2,22/460,
JAMA Oncology,JAMA ONCOL,2374-2437,2374-2445,医学,AMER MEDICAL ASSOC,1,Q1,20.1,24.7,14/326,
NATURE NEUROSCIENCE,NAT NEUROSCI,1097-6256,1546-1726,医学,NATURE PORTFOLIO,1,Q1,20.0,24.8,2/314,
Nature Synthesis,NAT SYNTH,N/A,2731-0582,化学,SPRINGERNATURE,1,Q1,20.0,20.0,11/239,
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,0165-6147,1873-3735,医学,CELL PRESS,1,Q1,19.9,16.8,3/352,
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,1939-1455,心理学,AMER PSYCHOLOGICAL ASSOC,1,Q1,19.8,28.5,3/221,
Cellular & Molecular Immunology,CELL MOL IMMUNOL,1672-7681,2042-0226,医学,CHIN SOCIETY IMMUNOLOGY,1,Q1,19.8,22.6,5/183,
Chem,CHEM-US,2451-9294,2451-9294,化学,CELL PRESS,1,Q1,19.6,23.4,12/239,
Nature Microbiology,NAT MICROBIOL,2058-5276,2058-5276,生物学,NATURE PORTFOLIO,1,Q1,19.4,20.7,4/163,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,1535-4970,医学,AMER THORACIC SOC,1,Q1,19.4,20.0,4/108,
Nature Aging,NATURE AGING,N/A,2662-8465,医学,SPRINGERNATURE,1,Q1,19.4,21.9,1/73,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,0001-8686,1873-3727,化学,ELSEVIER,1,Q1,19.3,19.5,11/185,
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,0893-8512,1098-6618,医学,AMER SOC MICROBIOLOGY,1,Q1,19.3,33.3,5/163,
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,2329-9266,2329-9274,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,19.2,13.1,1/89,
PhotoniX,PHOTONIX,N/A,2662-1991,物理与天体物理,SPRINGERNATURE,1,Q1,19.1,19.3,6/125,
NATURE CELL BIOLOGY,NAT CELL BIOL,1465-7392,1476-4679,生物学,NATURE PORTFOLIO,1,Q1,19.1,22.6,10/204,
Annual Review of Physiology,ANNU REV PHYSIOL,0066-4278,1545-1585,医学,ANNUAL REVIEWS,1,Q1,19.1,24.9,2/87,
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,1616-3028,材料科学,WILEY-V C H VERLAG GMBH,1,Q1,19.0,19.4,9/187,
Annual Review of Marine Science,ANNU REV MAR SCI,1941-1405,1941-0611,地球科学,ANNUAL REVIEWS,1,Q1,18.9,18.9,1/119,
Advanced Photonics,ADV PHOTONICS,N/A,2577-5421,物理与天体物理,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,1,Q1,18.8,17.0,7/125,
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,0890-6955,1879-2170,工程技术,ELSEVIER SCI LTD,1,Q1,18.8,15.8,2/182,
Cell Host & Microbe,CELL HOST MICROBE,1931-3128,1934-6069,医学,CELL PRESS,1,Q1,18.7,20.5,1/47,
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,计算机科学,IEEE COMPUTER SOC,1,Q1,18.6,20.4,3/366,
Nature Physics,NAT PHYS,1745-2473,1745-2481,物理与天体物理,NATURE PORTFOLIO,1,Q1,18.4,21.2,5/114,
Computational Visual Media,COMPUT VIS MEDIA,2096-0433,2096-0662,计算机科学,TSINGHUA UNIV PRESS,2,Q1,18.3,12.9,1/128,
Nature Computational Science,NAT COMPUT SCI,N/A,2662-8457,计算机科学,SPRINGERNATURE,1,Q1,18.3,17.6,2/175,
ACS Energy Letters,ACS ENERGY LETT,2380-8195,2380-8195,材料科学,AMER CHEMICAL SOC,1,Q1,18.2,20.5,8/182,
